categoryId,imageLocation
healthy-deli,Healthy\Delis\deli 1.jpg
healthy-deli,Healthy\Delis\deli 2.jpg
healthy-hotpot,Healthy\Hotpot\hotpot 1.jpg
healthy-hotpot,Healthy\Hotpot\hotpot 2.jpg
healthy-japanese,Healthy\Japanese\japanese 1.jpg
healthy-japanese,Healthy\Japanese\japanese 2.jpg
healthy-rawfood,Healthy\Raw_food\raw_food 1.jpeg
healthy-rawfood,Healthy\Raw_food\raw_food 2.jpg
healthy-salad,Healthy\Salad\salad 1.jpg
healthy-salad,Healthy\Salad\salad 2.jpg
healthy-sandwiches,Healthy\Sandwiches\sandwiches 1.jpeg
healthy-sandwiches,Healthy\Sandwiches\sandwiches 2.jpg
healthy-seafood,Healthy\Seafood\seafood 1.jpg
healthy-seafood,Healthy\Seafood\seafood 2.jpg
healthy-sushi,Healthy\Sushi\sushi 1.jpg
healthy-sushi,Healthy\Sushi\sushi 2.jpg
healthy-viet,Healthy\Vietnamese\vietnamese 1.jpg
healthy-viet,Healthy\Vietnamese\vietnamese 2.jpg
carbs-adv-colombian,Not Healthy\Carbs\Adventurous\Colombian\colombian 1.jpg
carbs-adv-colombian,Not Healthy\Carbs\Adventurous\Colombian\colombian 2.jpg
carbs-adv-domin,Not Healthy\Carbs\Adventurous\Dominican\dominican 1.jpg
carbs-adv-domin,Not Healthy\Carbs\Adventurous\Dominican\dominican 2.jpg
carbs-adv-latin,Not Healthy\Carbs\Adventurous\Latin\latin 1.jpg
carbs-adv-latin,Not Healthy\Carbs\Adventurous\Latin\latin 2.JPG
carbs-adv-mex,Not Healthy\Carbs\Adventurous\Mexican\mexican 1.jpeg
carbs-adv-mex,Not Healthy\Carbs\Adventurous\Mexican\mexican 2.jpg
carbs-adv-pers,Not Healthy\Carbs\Adventurous\Persian\persian 1.jpeg
carbs-adv-pers,Not Healthy\Carbs\Adventurous\Persian\persian 2.jpg
carbs-adv-salv,Not Healthy\Carbs\Adventurous\Salvadoran\salvadoran 1.jpg
carbs-adv-salv,Not Healthy\Carbs\Adventurous\Salvadoran\salvadoran 2.jpg
carbs-adv-soul,Not Healthy\Carbs\Adventurous\Soulfood\soulfood 1.jpg
carbs-adv-soul,Not Healthy\Carbs\Adventurous\Soulfood\soulfood 2.jpg
carbs-adv-ven,Not Healthy\Carbs\Adventurous\Venezuelan\venezuelan 1.jpg
carbs-adv-ven,Not Healthy\Carbs\Adventurous\Venezuelan\venezuelan 2.jpg
carbs-asian-fusion,Not Healthy\Carbs\Asian\Asian Fusion\asianfusion 1.jpg
carbs-asian-cambo,Not Healthy\Carbs\Asian\Cambodian\cambodian 1.jpg
carbs-asian-cambo,Not Healthy\Carbs\Asian\Cambodian\cambodian 2.jpg
carbs-asian-canto,Not Healthy\Carbs\Asian\Cantonese\cantonese 1.jpg
carbs-asian-canto,Not Healthy\Carbs\Asian\Cantonese\cantonese 2.jpg
carbs-asian-chinese,Not Healthy\Carbs\Asian\Chinese\chinese 1.jpg
carbs-asian-chinese,Not Healthy\Carbs\Asian\Chinese\chinese 2.jpg
carbs-asian-fil,Not Healthy\Carbs\Asian\Filipino\filipino 1.jpg
carbs-asian-fil,Not Healthy\Carbs\Asian\Filipino\filipino 2.jpg
carbs-asian-indo,Not Healthy\Carbs\Asian\Indonesian\indonesian 1.jpg
carbs-asian-indo,Not Healthy\Carbs\Asian\Indonesian\indonesian 2.jpeg
carbs-asian-indpak,Not Healthy\Carbs\Asian\Indpak\indpak 1.jpg
carbs-asian-indpak,Not Healthy\Carbs\Asian\Indpak\indpak 2.jpg
carbs-asian-kor,Not Healthy\Carbs\Asian\Korean\korean 1.jpg
carbs-asian-kor,Not Healthy\Carbs\Asian\Korean\korean 2.jpg
carbs-asian-lao,Not Healthy\Carbs\Asian\Laotian\laotian 1.jpg
carbs-asian-malay,Not Healthy\Carbs\Asian\Malaysian\malaysian 1.jpeg
carbs-asian-malay,Not Healthy\Carbs\Asian\Malaysian\malaysian 2.jpg
carbs-asian-paki,Not Healthy\Carbs\Asian\Pakistani\pakistani 1.jpg
carbs-asian-paki,Not Healthy\Carbs\Asian\Pakistani\pakistani 2.jpg
carbs-asian-shang,Not Healthy\Carbs\Asian\Shanghainese\shanghainese 1.jpg
carbs-asian-shang,Not Healthy\Carbs\Asian\Shanghainese\shanghainese 2.jpg
carbs-asian-sing,Not Healthy\Carbs\Asian\Sinaporean\singaporean 1.jpg
carbs-asian-sing,Not Healthy\Carbs\Asian\Sinaporean\singaporean 2.jpg
carbs-asian-sze,Not Healthy\Carbs\Asian\Szechuan\szechuan 1.jpg
carbs-asian-sze,Not Healthy\Carbs\Asian\Szechuan\szechuan 2.jpg
carbs-asian-taiwan,Not Healthy\Carbs\Asian\Taiwanese\taiwanese 1.JPG
carbs-asian-taiwan,Not Healthy\Carbs\Asian\Taiwanese\taiwanese 2.jpg
carbs-asian-thai,Not Healthy\Carbs\Asian\Thai\thai 1.jpg
carbs-asian-thai,Not Healthy\Carbs\Asian\Thai\thai 2.jpg
carbs-asian-viet,Not Healthy\Carbs\Asian\Vietnamese\vietnamese 1.jpg
carbs-west-ital,Not Healthy\Carbs\Western\Italian\italian 1.jpg
carbs-west-ital,Not Healthy\Carbs\Western\Italian\italian 2.jpeg
carbs-west-pizza,Not Healthy\Carbs\Western\Pizza\pizza 1.jpeg
carbs-west-pizza,Not Healthy\Carbs\Western\Pizza\pizza 2.jpg
carbs-west-soul,Not Healthy\Carbs\Western\Soulfood\soulfood 1.jpg
carbs-west-soul,Not Healthy\Carbs\Western\Soulfood\soulfood 2.jpg
carbs-west-ukra,Not Healthy\Carbs\Western\Ukranian\ukranian 1.jpg
carbs-west-ukra,Not Healthy\Carbs\Western\Ukranian\ukranian 2.jpg
meat-adv-afgh,Not Healthy\Meat\Adventurous\Afghani\afghani 1.jpg
meat-adv-afgh,Not Healthy\Meat\Adventurous\Afghani\afghani 2.jpg
meat-adv-afr,Not Healthy\Meat\Adventurous\African\african 1.jpg
meat-adv-afr,Not Healthy\Meat\Adventurous\African\african 2.jpg
meat-adv-arab,Not Healthy\Meat\Adventurous\Arabian\arabian 1.jpg
meat-adv-arg,Not Healthy\Meat\Adventurous\Argentine\argentine 1.JPG
meat-adv-arg,Not Healthy\Meat\Adventurous\Argentine\argentine 2.jpg
meat-adv-bra,Not Healthy\Meat\Adventurous\Brazilian\brazilian 1.jpg
meat-adv-bra,Not Healthy\Meat\Adventurous\Brazilian\brazilian 2.JPG
meat-adv-carib,Not Healthy\Meat\Adventurous\Caribbean\caribbean 1.jpg
meat-adv-colomb,Not Healthy\Meat\Adventurous\Colombian\colombian 1.jpg
meat-adv-cub,Not Healthy\Meat\Adventurous\Cuban\cuban 1.jpg
meat-adv-cub,Not Healthy\Meat\Adventurous\Cuban\cuban 2.jpg
meat-adv-dom,Not Healthy\Meat\Adventurous\Dominican\dominican 1.jpg
meat-adv-dom,Not Healthy\Meat\Adventurous\Dominican\dominican 2.jpg
meat-adv-halal,Not Healthy\Meat\Adventurous\Halal\halal 1.jpg
meat-adv-halal,Not Healthy\Meat\Adventurous\Halal\halal 2.jpg
meat-adv-mex,Not Healthy\Meat\Adventurous\Mexican\mexican 1.jpg
meat-adv-mex,Not Healthy\Meat\Adventurous\Mexican\mexican 2.jpg
meat-adv-moroc,Not Healthy\Meat\Adventurous\Moroccan\moroccan 1.jpg
meat-adv-peru,Not Healthy\Meat\Adventurous\Peruvian\peruvian 1.jpg
meat-adv-peru,Not Healthy\Meat\Adventurous\Peruvian\peruvian 2.jpg
meat-adv-pr,Not Healthy\Meat\Adventurous\Puerto Rican\puertorican 1.jpg
meat-adv-salv,Not Healthy\Meat\Adventurous\Salvadoran\salvadoran 1.JPG
meat-adv-seneg,Not Healthy\Meat\Adventurous\Senegalese\senegalese 1.JPG
meat-adv-soul,Not Healthy\Meat\Adventurous\Soulfood\soulfood 1.jpg
meat-adv-soul,Not Healthy\Meat\Adventurous\Soulfood\soulfood 2.jpg
meat-adv-turk,Not Healthy\Meat\Adventurous\Turkish\turkish 1.jpg
meat-adv-turk,Not Healthy\Meat\Adventurous\Turkish\turkish 2.jpg
meat-adv-vene,Not Healthy\Meat\Adventurous\Venezuelan\venezuelan 1.jpg
meat-adv-vene,Not Healthy\Meat\Adventurous\Venezuelan\venezuelan 2.jpg
meat-asian-bbq,Not Healthy\Meat\Asian\BBQ\bbq 1.jpg
meat-asian-bbq,Not Healthy\Meat\Asian\BBQ\bbq 2.jpg
meat-asian-fil,Not Healthy\Meat\Asian\Filipino\filipino 1.jpg
meat-asian-fil,Not Healthy\Meat\Asian\Filipino\filipino 2.jpg
meat-asian-haw,Not Healthy\Meat\Asian\Hawaiian\hawaiian 1.jpg
meat-asian-hotpot,Not Healthy\Meat\Asian\Hot Pot\hotpot 1.jpg
meat-asian-hotpot,Not Healthy\Meat\Asian\Hot Pot\hotpot 2.jpg
meat-asian-kor,Not Healthy\Meat\Asian\Korean\korean 1.jpg
meat-asian-kor,Not Healthy\Meat\Asian\Korean\korean 2.jpg
meat-asian-mong,Not Healthy\Meat\Asian\Mongolian\mongolian 1.jpg
meat-asian-mong,Not Healthy\Meat\Asian\Mongolian\mongolian 2.jpg
meat-west-burg,Not Healthy\Meat\Western\Burgers\burgers 1.jpeg
meat-west-burg,Not Healthy\Meat\Western\Burgers\burgers 2.jpg
meat-west-chsteak,Not Healthy\Meat\Western\Cheesesteaks\cheesesteaks 1.jpg
meat-west-chsteak,Not Healthy\Meat\Western\Cheesesteaks\cheesesteaks 2.JPG
meat-west-germ,Not Healthy\Meat\Western\German\german 1.jpg
meat-west-germ,Not Healthy\Meat\Western\German\german 2.jpg
meat-west-greek,Not Healthy\Meat\Western\Greek\greek 1.jpg
meat-west-greek,Not Healthy\Meat\Western\Greek\greek 2.jpg
meat-west-hotdog,Not Healthy\Meat\Western\Hotdogs\hotdog 1.jpg
meat-west-hotdog,Not Healthy\Meat\Western\Hotdogs\hotdog 2.jpg
meat-west-hung,Not Healthy\Meat\Western\Hungarian\hungarian 1.jpg
meat-west-hung,Not Healthy\Meat\Western\Hungarian\hungarian 2.jpg
meat-west-newam,Not Healthy\Meat\Western\Newamerican\newamerican 1.jpg
meat-west-newam,Not Healthy\Meat\Western\Newamerican\newamerican 2.jpg
meat-west-polish,Not Healthy\Meat\Western\Polish\polish 1.jpg
meat-west-russ,Not Healthy\Meat\Western\Russian\russian 1.jpg
meat-west-soul,Not Healthy\Meat\Western\Soulfood\soulfood 1.jpg
meat-west-soul,Not Healthy\Meat\Western\Soulfood\soulfood 2.jpg
meat-west-texmex,Not Healthy\Meat\Western\Tex-Mex\texmex 1.jpg
meat-west-texmex,Not Healthy\Meat\Western\Tex-Mex\texmex 2.jpg
meat-west-tradam,Not Healthy\Meat\Western\Tradamerican\tradamerican 1.jpg
meat-west-tradam,Not Healthy\Meat\Western\Tradamerican\tradamerican 2.jpg
sea-adv-turk,Not Healthy\Seafood\Adventurous\Turkish\turkish 1.jpg
sea-adv-turk,Not Healthy\Seafood\Adventurous\Turkish\turkish 2.jpg
sea-asian-jap,Not Healthy\Seafood\Asian\Japanese\japanese 1.jpg
sea-asian-jap,Not Healthy\Seafood\Asian\Japanese\japanese 2.jpg
sea-asian-sushi,Not Healthy\Seafood\Asian\Sushi\sushi 1.jpg
sea-asian-sushi,Not Healthy\Seafood\Asian\Sushi\sushi 2.jpg
sea-west-fishnc,Not Healthy\Seafood\Western\FishnChips\fishnchips 1.jpg
sea-west-fishnc,Not Healthy\Seafood\Western\FishnChips\fishnchips 2.jpg
sea-west-greek,Not Healthy\Seafood\Western\Greek\greek 1.jpg
sea-west-greek,Not Healthy\Seafood\Western\Greek\greek 2.jpg
sea-west-newam,Not Healthy\Seafood\Western\New American\new american seafood 1.JPG
sea-west-newam,Not Healthy\Seafood\Western\New American\new american seafood 2.jpg
sea-west-port,Not Healthy\Seafood\Western\Portuguese\portuguese 1.jpg
sea-west-port,Not Healthy\Seafood\Western\Portuguese\portuguese 2.jpg
veg-asian-hotpot,Not Healthy\Vegetables\Asian\Hotpot\hotpot 1.jpg
veg-asian-hotpot,Not Healthy\Vegetables\Asian\Hotpot\hotpot 2.jpg
veg-asian-indpak,Not Healthy\Vegetables\Asian\Indpak\indpak 1.JPG
veg-asian-indpak,Not Healthy\Vegetables\Asian\Indpak\indpak 2.jpg
veg-west-salad,Not Healthy\Vegetables\Western\Salad\salad 1.jpg
snack-bagels,Snack\Bagels\bagels 1.jpg
snack-bagels,Snack\Bagels\bagels 2.jpg
snack-baker,Snack\Bakeries\bakery 1.jpg
snack-baker,Snack\Bakeries\bakery 2.jpg
snack-cafe,Snack\Cafe\cafe 1.jpg
snack-cafe,Snack\Cafe\cafe 2.jpg
snack-csteak,Snack\Cheesesteaks\cheesesteaks 1.jpg
snack-csteak,Snack\Cheesesteaks\cheesesteaks 2.JPG
snack-wings,Snack\Chicken_Wings\wings 1.jpg
snack-wings,Snack\Chicken_Wings\wings 2.jpg
snack-crepe,Snack\Creperies\crepe 1.jpg
snack-crepe,Snack\Creperies\crepe 2.jpg
snack-deli,Snack\Delis\Delis 1.jpg
snack-deli,Snack\Delis\Delis 2.jpg
snack-dimsum,Snack\Dimsum\dimsum 1.jpg
snack-dimsum,Snack\Dimsum\dimsum 2.jpg
snack-donuts,Snack\Donuts\donuts 1.jpg
snack-donuts,Snack\Donuts\donuts 2.jpg
snack-fondue,Snack\Fondue\fondue 1.jpg
snack-foodtruck,Snack\Foodstands\food truck 1.jpg
snack-foodtruck,Snack\Foodstands\food truck 2.jpg
snack-hotdog,Snack\Hotdogs\hotdog 1.jpg
snack-hotdog,Snack\Hotdogs\hotdog 2.jpg
snack-juice,Snack\Juicebars\juice 1.jpg
snack-juice,Snack\Juicebars\juice 2.jpg
snack-sandwich,Snack\Sandwiches\sandwich 1.jpg
snack-sandwich,Snack\Sandwiches\sandwich 2.jpg
snack-soup,Snack\Soup\soup 1.jpg
snack-soup,Snack\Soup\soup 2.jpg
snack-tapas,Snack\Tapas\tapas 1.jpg
snack-tapas,Snack\Tapas\tapas 2.jpg
snack-tea,Snack\Tea\tea 1.jpg
snack-tea,Snack\Tea\tea 2.jpg